2014-12-11 03:59:53 status unpacked hostname:i386 3.15ubuntu1
2014-12-11 03:59:53 install ifupdown:i386 <none> 0.7.47.2ubuntu4
2014-12-11 03:59:53 status half-installed ifupdown:i386 0.7.47.2ubuntu4
2014-12-11 03:59:53 status unpacked ifupdown:i386 0.7.47.2ubuntu4
2014-12-11 03:59:53 status unpacked ifupdown:i386 0.7.47.2ubuntu4
2014-12-11 03:59:53 install initramfs-tools:all <none> 0.103ubuntu4
2014-12-11 03:59:53 status half-installed initramfs-tools:all 0.103ubuntu4
2014-12-11 03:59:53 status unpacked initramfs-tools:all 0.103ubuntu4
2014-12-11 03:59:53 status unpacked initramfs-tools:all 0.103ubuntu4
2014-12-11 03:59:53 install initramfs-tools-bin:i386 <none> 0.103ubuntu4
2014-12-11 03:59:53 status half-installed initramfs-tools-bin:i386 0.103ubuntu4
2014-12-11 03:59:53 status unpacked initramfs-tools-bin:i386 0.103ubuntu4
2014-12-11 03:59:53 status unpacked initramfs-tools-bin:i386 0.103ubuntu4
2014-12-11 03:59:53 install initscripts:i386 <none> 2.88dsf-41ubuntu6
2014-12-11 03:59:53 status half-installed initscripts:i386 2.88dsf-41ubuntu6
2014-12-11 03:59:53 status unpacked initscripts:i386 2.88dsf-41ubuntu6
2014-12-11 03:59:53 status unpacked initscripts:i386 2.88dsf-41ubuntu6
2014-12-11 03:59:53 install insserv:i386 <none> 1.14.0-5ubuntu2
2014-12-11 03:59:53 status half-installed insserv:i386 1.14.0-5ubuntu2
2014-12-11 03:59:53 status unpacked insserv:i386 1.14.0-5ubuntu2
2014-12-11 03:59:53 status unpacked insserv:i386 1.14.0-5ubuntu2
2014-12-11 03:59:53 install iproute2:i386 <none> 3.12.0-2
2014-12-11 03:59:53 status half-installed iproute2:i386 3.12.0-2
2014-12-11 03:59:53 status unpacked iproute2:i386 3.12.0-2
2014-12-11 03:59:53 status unpacked iproute2:i386 3.12.0-2
2014-12-11 03:59:53 install klibc-utils:i386 <none> 2.0.3-0ubuntu1
2014-12-11 03:59:53 status half-installed klibc-utils:i386 2.0.3-0ubuntu1
2014-12-11 03:59:53 status unpacked klibc-utils:i386 2.0.3-0ubuntu1
2014-12-11 03:59:53 status unpacked klibc-utils:i386 2.0.3-0ubuntu1
2014-12-11 03:59:53 install kmod:i386 <none> 15-0ubuntu6
2014-12-11 03:59:53 status half-installed kmod:i386 15-0ubuntu6
2014-12-11 03:59:53 status unpacked kmod:i386 15-0ubuntu6
2014-12-11 03:59:53 status unpacked kmod:i386 15-0ubuntu6
2014-12-11 03:59:53 install libacl1:i386 <none> 2.2.52-1
2014-12-11 03:59:53 status half-installed libacl1:i386 2.2.52-1
2014-12-11 03:59:53 status unpacked libacl1:i386 2.2.52-1
2014-12-11 03:59:53 status unpacked libacl1:i386 2.2.52-1
2014-12-11 03:59:53 install libattr1:i386 <none> 1:2.4.47-1ubuntu1
2014-12-11 03:59:53 status half-installed libattr1:i386 1:2.4.47-1ubuntu1
2014-12-11 03:59:53 status unpacked libattr1:i386 1:2.4.47-1ubuntu1
2014-12-11 03:59:53 status unpacked libattr1:i386 1:2.4.47-1ubuntu1
2014-12-11 03:59:53 install libaudit-common:all <none> 1:2.3.2-2ubuntu1
2014-12-11 03:59:53 status half-installed libaudit-common:all 1:2.3.2-2ubuntu1
2014-12-11 03:59:53 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2014-12-11 03:59:53 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2014-12-11 03:59:53 install libaudit1:i386 <none> 1:2.3.2-2ubuntu1
